發話人,NPC ID,表情,"邏輯/條件/選項
一二三四五六七八九十一二三一二三四五六七八九十","對白
一二三四五六七八九十一二三四五六七八九十一二三",獲得道具/對話後果,備註
主線01,,,,,,賭徒兄妹（２　
△動畫結束，先撥放幾秒雨聲，隨後忽明忽暗 主角醒來,,,,,,
△鏡頭移動到其他人身上,,,,,,
主角,,,,"唔啊啊～～
壞了，聽著雨聲就這樣睡了過去……唔，頭好痛……",,
主角,,,,…………,,
主角,,,,"不是，咱們不是在坐車嗎？
這裡是哪裡？我怎麼會在這兒？",,
獵戶阿偉,,,,"你們兩個給我差不多點！
吵吵鬧鬧的丟不丟人吶，咱們這兒還有小孩子在呢！",,
碼頭工人,,生氣,,"他媽的！你罵我做甚？你怎麼不好好罵罵這膽小鬼？
媽的，老子做大哥的好心帶他翻身，還得聽他婆媽！",,
碼頭工人２,,,,"大、大哥您冷靜一下，冷靜一下。
唉呦，小弟怎麼敢質疑你啊？不就是好奇嘛！",,
碼頭工人２,,,,畢竟大哥您一會兒說要帶小弟我「進京」，一會兒又說要帶我「登大人」，我、我就聽著慌……！,,
碼頭工人,,,,慌個屁！沒用的東西，你是信不過你大哥？還是信不過[em2]恩公[/em2]？,,
碼頭工人２,,,,你、大大大哥你也不能這樣說啊，我我我跟你幾年了，咱們稱兄道弟，哪可能不信大哥你呢！,,
碼頭工人２,,,,對、對了！既然咱們兩人在這兒也說不清，不如問問那位小兄弟的想法？,,
主角,,,,……啊？,,
碼頭工人,,,,"好！那就問問這小兄弟的看法！
老子還不信了，這兒每個人都和你一樣沒膽？",,
主角,,,,……呃，你們在說……我？,,
碼頭工人,,,,還能是誰？我就問你：[em2]同為受恩公邀約入京之人[/em2]，不過是讓咱們在這破廟等上幾日，這人魂兒就要被嚇飛了？這性子，能成大事嗎？,,
選項1,,,「……入京，甚麼入京？」,,,
選項2,,,［魅力］「呃…老話說不入虎穴焉得虎子，衝，該衝！」,,,
選項3,,,［口才］「富貴險中求，更在險中丟，小心點吧。」,,,
▼選項1,,,,,,
碼頭工人,,,,……,,
碼頭工人２,,,,……,,
主角,,吐槽,,……不是，誰來都好，解釋一下吧！,,
碼頭工人２,,,,咱們不是在河東長街時遇上個[em2]貴人[/em2]嗎？那貴人說要引薦咱們入京當差。,,
碼頭工人２,,,,結果咱們剛過這山頭，車夫突然把咱們拉上了山，還讓咱們在這兒等，這一等就是好幾日——,,
碼頭工人（傑哥,,,,你這渾蛋！說話掐頭去尾的，分明是咱們碰上了大雨，逼不得已才上了山！,,
碼頭工人（傑哥,,,,他媽的，若沒有老子找到這間破廟，你早吃西北風去了！,跳回選項,
▼選項2,,,,,,
碼頭工人,,,"※進入魅力檢定
※檢定成功。","哈！小兄弟罩啊！
你瞧瞧，你個大老粗還不如人小娃兒有膽識！丟人！",成功:+10魅力經驗,
碼頭工人２,,,,……呃……要不你收他當小弟——我說笑的，說笑的呢！別、別別拿刀被打我，真要命的！,【接　選項分支匯流】,
主角,,一般,"※進入魅力檢定
※檢定失敗。",雖然我不懂，但我覺得該衝。,,
碼頭工人２,,,,雖然你不懂？,,
主角,,喜悅,,雖然我不懂。,,
碼頭工人２,,,,"那你說個雞毛！
莫名其妙，小孩子滾旁邊玩沙去！",,
主角,,吐槽,,……怪我？,【接　選項分支匯流】,
▼選項3,,,,,,
主角,,一般,"※進入口才檢定
※檢定成功。",有錢能使鬼推磨啊！何況咱們這種窮鬼，給錢別說推磨了，我還能把磨扔起來耍個兩圈呢！,成功:+10口才經驗,
碼頭工人２,,,,"你瞧瞧，人小兄弟也是這樣覺得。
何況你說的那位大哥，咱也不認識。",,
碼頭工人２,,,,要給咱們介紹在京城才有的好工作，這種甜頭——唉喲！你怎麼不怕啊？我怕得很啊！,,
碼頭工人,,,,嘖……,,
碼頭工人２,,,"※進入口才檢定
※檢定失敗。",唉…年輕人就是年輕人，想當年我爺爺姥姥，僅憑一顆葫蘆，一袋麵餅，就從南蠻之地一路往北——,,
主角,,,,呃……,,
碼頭工人２,,,,非但如此，那時路上啊！到處都是沼澤，蠻子和毒蜂毒蟲！我們抱怨過嗎？姥姥抱怨過嗎？沒有嘛——,,
主角,,吐槽,,壞喽，戳人肺管子了。,,
選項分支匯流,,,,,,
主角,,一般,鏡頭轉回主角,先別管那兩人了，方才他們說的「受恩公邀約入京之人」——,,
主角,,流汗,,…………,,
